serial_number,zip_code,model_year,final_assembly_code,battery_assembly_code
00CC2312RWRBXR,68358,2023,00,CC
00DD2309CVDM53,75076,2023,00,DD
00AA2305F9GW2D,94887,2023,00,AA
11AA2309HVLZXJ,88835,2023,11,AA
00AA23127SVX2G,35870,2023,00,AA
00AA2304IGJSZJ,57656,2023,00,AA
00AA2302D5V9A1,81285,2023,00,AA
00CC23047BUJ1E,50562,2023,00,CC
00AA2306C9GJEE,29908,2023,00,AA
00BB2311BWX69I,10675,2023,00,BB
00CC23036W9NB8,86278,2023,00,CC
00DD23080W00DR,16565,2023,00,DD
00BB23099BV25O,49035,2023,00,BB
00CC230859P01V,47951,2023,00,CC
00CC23025FRI3P,79720,2023,00,CC
00AA2303UDS5JT,12529,2023,00,AA
00CC23063PYL97,39421,2023,00,CC
00CC230723VR5F,58614,2023,00,CC
11AA2310JQOOXD,82244,2023,11,AA
00AA2311DAE101,31109,2023,00,AA
00AA2310FAKOQA,17275,2023,00,AA
11AA231267WIHT,85704,2023,11,AA
00CC2305KNYNM3,20788,2023,00,CC
00DD2312B137TS,24658,2023,00,DD
00AA230736X9SE,33592,2023,00,AA
00DD2306354ISP,64342,2023,00,DD
00BB2301XJGA9G,91983,2023,00,BB
00BB2304XE5CJ1,92312,2023,00,BB
00CC2309W10Y8G,26336,2023,00,CC
00DD2308TNHQZX,39058,2023,00,DD
00DD2311P0N9NS,64396,2023,00,DD
00AA2305GCR2ET,27943,2023,00,AA
00DD2311OO8I0P,30616,2023,00,DD
11AA2307VX87X7,94691,2023,11,AA
11AA2308Z43QNX,93210,2023,11,AA
00BB2303Q1H3RZ,83563,2023,00,BB
00CC2308K9QEYE,23753,2023,00,CC
00DD2301LFI1YB,09081,2023,00,DD
00BB2305JZA8M8,32297,2023,00,BB
00DD2311QHS6PU,14280,2023,00,DD
00AA2307JG7330,84539,2023,00,AA
11AA2307UABKLY,68309,2023,11,AA
11AA2309QWHKCW,03618,2023,11,AA
11AA2312DL6FLG,61993,2023,11,AA
00DD2311AVSE79,15483,2023,00,DD
00CC2304R8J9JE,51115,2023,00,CC
00DD2305C1H5FZ,32646,2023,00,DD
00AA2301W0GI8M,39015,2023,00,AA
00BB2307792DLJ,43282,2023,00,BB
11AA2309CH9341,85030,2023,11,AA
00DD2306MW7FEC,32997,2023,00,DD
00AA2303S9CPD3,28138,2023,00,AA
00CC230805U51L,06150,2023,00,CC
00AA2306F7MOKE,84849,2023,00,AA
00AA2303E35HOV,79850,2023,00,AA
00BB2306UUZFM3,28650,2023,00,BB
00BB23083BA72Y,83102,2023,00,BB
11AA23013O84RV,06459,2023,11,AA
00AA2310ER3KJE,57007,2023,00,AA
00AA2303CCKPR5,76465,2023,00,AA
00DD2311BC4TYA,01899,2023,00,DD
00AA2302KP8DZB,45442,2023,00,AA
00BB2304MQ0P9E,67880,2023,00,BB
00CC2303A98T8F,75742,2023,00,CC
00DD2309IQF6J3,44730,2023,00,DD
00BB23038W7WCT,47130,2023,00,BB
00AA2301BQ5NE6,12672,2023,00,AA
00BB2305T1KGAY,24606,2023,00,BB
00BB23106GWW0W,28983,2023,00,BB
00CC2301AWVTTV,90632,2023,00,CC
11AA230131UB7E,30767,2023,11,AA
00DD2307KXE97J,30578,2023,00,DD
00AA230789P2UG,71244,2023,00,AA
00CC2308SQICIV,00938,2023,00,CC
00AA2309A0I5E8,88066,2023,00,AA
00DD2303DHQTU4,75540,2023,00,DD
00DD2303TDODBP,00656,2023,00,DD
00DD23110QMKH5,59215,2023,00,DD
11AA2312SLEWYQ,65539,2023,11,AA
00CC2304G5AKI0,04721,2023,00,CC
00DD2305XDD1YC,64181,2023,00,DD
00CC23015MWGHB,19182,2023,00,CC
00DD2302FWRCGB,32530,2023,00,DD
00CC2311W31HKB,95816,2023,00,CC
00BB23039WH557,82532,2023,00,BB
00AA2306ZBLVXD,64032,2023,00,AA
00AA2309RY4SAZ,31692,2023,00,AA
00CC2311QT9FTO,00349,2023,00,CC
00BB2309BAPUSN,27479,2023,00,BB
11AA2310PPF8RF,68669,2023,11,AA
11AA23084ALALN,44431,2023,11,AA
00DD2306CSCDA1,87989,2023,00,DD
00BB2310YU97RI,00832,2023,00,BB
00AA23036ONA6H,53876,2023,00,AA
00AA2302YM1D22,27726,2023,00,AA
00CC2302F4L0NC,33821,2023,00,CC
00BB2305F6TDX2,59249,2023,00,BB
00AA23026IKUP7,44386,2023,00,AA
00DD2301JR3GA0,18093,2023,00,DD
11AA2307X6GQYK,18894,2023,11,AA
00BB230367KBAV,80099,2023,00,BB
11AA2308JEDJSK,57055,2023,11,AA
11AA2311Y8UK4D,41282,2023,11,AA
11AA2306QXS9ND,68981,2023,11,AA
00DD23045UZW65,83933,2023,00,DD
00AA2312YN4BN6,03798,2023,00,AA
00DD2301EU28UT,57663,2023,00,DD
00AA2312IAAJVK,35179,2023,00,AA
00CC23091XTFCD,25827,2023,00,CC
00AA2304OF3TLW,92127,2023,00,AA
00DD2309YUMA2T,86123,2023,00,DD
00DD2312GNHPU5,06354,2023,00,DD
00CC2308HON7MV,38437,2023,00,CC
00BB230979T3SK,51382,2023,00,BB
11AA2302JXR2YZ,37069,2023,11,AA
00CC230552BIDW,84153,2023,00,CC
00CC2301M6FVDW,46361,2023,00,CC
00DD2308SEM7TB,38110,2023,00,DD
00CC23012X5L63,02782,2023,00,CC
11AA2312SLX9XA,60247,2023,11,AA
00AA23129N0K7Q,89850,2023,00,AA
11AA2312S84CFQ,35912,2023,11,AA
00DD2308CNN9TH,16992,2023,00,DD
00CC2309R09BB6,02864,2023,00,CC
00AA2304FJO4YE,42682,2023,00,AA
00CC2304Y0OQZT,42693,2023,00,CC
11AA2310NALK6U,75711,2023,11,AA
00AA23071S0OY1,37518,2023,00,AA
11AA231287OMBE,52237,2023,11,AA
00BB2304NXTXR9,29732,2023,00,BB
00CC2310FQYV3C,28934,2023,00,CC
00CC2311VER70I,86259,2023,00,CC
11AA2306WLZK5F,58998,2023,11,AA
00CC2308BWCD8F,79489,2023,00,CC
00CC23114YBEPH,34355,2023,00,CC
00DD2311UNK82C,14333,2023,00,DD
00CC23030T8JEQ,14494,2023,00,CC
00BB2308991B4R,44083,2023,00,BB
11AA2305RUK4LB,74984,2023,11,AA
00BB230642RYQ5,02247,2023,00,BB
00DD2304MILM4U,93779,2023,00,DD
00DD2308OE6TYM,15036,2023,00,DD
00BB2305NMDP1D,07671,2023,00,BB
00BB2309BPIAR9,48887,2023,00,BB
00AA23113HIIJO,64645,2023,00,AA
00DD2309CRNZVO,14668,2023,00,DD
00BB2306RJEHOX,17157,2023,00,BB
00AA2312PWG8YI,83390,2023,00,AA
11AA2310Z81URM,36788,2023,11,AA
00DD2301QZTWO2,40449,2023,00,DD
00BB2312E77ZDX,61991,2023,00,BB
00DD231197MUC1,28802,2023,00,DD
00DD2302WYNTVP,19166,2023,00,DD
00BB2312B9Z4XK,06096,2023,00,BB
00DD2312WOWKBL,30091,2023,00,DD
00DD23044FLC80,61889,2023,00,DD
00AA2308WF06T9,64747,2023,00,AA
00CC2309WYXEVZ,03383,2023,00,CC
00CC2302DV2TSS,11464,2023,00,CC
00DD230600OZDF,89700,2023,00,DD
00DD231127J97U,51000,2023,00,DD
00BB2304OLPJYU,27783,2023,00,BB
00DD23069BN16G,80050,2023,00,DD
00CC2303TZ13E4,39126,2023,00,CC
00BB2306U4FPWK,10954,2023,00,BB
00DD23014PC5K1,06832,2023,00,DD
00AA230205C010,16844,2023,00,AA
00BB2306HYD0N7,36227,2023,00,BB
11AA2310Z7KJTR,88710,2023,11,AA
00BB2310NPMMAA,38686,2023,00,BB
11AA2306WKUIIP,00246,2023,11,AA
00BB23068SAX4F,58643,2023,00,BB
11AA23099JJI0A,85599,2023,11,AA
00DD2312G1E7UW,73140,2023,00,DD
00BB2303RAR69B,26965,2023,00,BB
11AA23066ULPA5,89347,2023,11,AA
00AA2310SCTGHT,36604,2023,00,AA
11AA2307PU7V00,86899,2023,11,AA
00AA23099BJRM7,74512,2023,00,AA
11AA23036KAKYJ,90694,2023,11,AA
00DD2309SMAMXB,19153,2023,00,DD
00BB23047O9G0Z,67654,2023,00,BB
11AA230803UHDI,80826,2023,11,AA
00BB23025IS0ZQ,22597,2023,00,BB
00AA2305G9GW1R,49437,2023,00,AA
00AA2308B2WGBQ,95759,2023,00,AA
00DD2302VAMH8R,70431,2023,00,DD
00BB23116AFXPY,46446,2023,00,BB
00CC2305WP115O,83842,2023,00,CC
00CC2311TRAVGO,84793,2023,00,CC
11AA2306WMNKBB,49432,2023,11,AA
00BB2309SUN29D,96638,2023,00,BB
00CC2310U19DOQ,95504,2023,00,CC
11AA23055743UY,29073,2023,11,AA
00DD2305ZA3AH1,12791,2023,00,DD
11AA23096U4LVM,16262,2023,11,AA
11AA2306J6DN1I,07168,2023,11,AA
00DD23082J3VB1,29240,2023,00,DD
11AA2309P9OYTL,54985,2023,11,AA
11AA23013XQVTY,58013,2023,11,AA
00AA2301TMH47G,26120,2023,00,AA
00BB23105SY3WM,63262,2023,00,BB
00AA2306L1FU4M,13847,2023,00,AA
00DD23104F1AR3,87420,2023,00,DD
00DD2311W0T6DT,93900,2023,00,DD
00DD23044EKLID,94888,2023,00,DD
11AA2305ZKH91Q,24483,2023,11,AA
00BB2305Y5QKRN,18777,2023,00,BB
00CC2302ENQ75H,47164,2023,00,CC
00BB2312OWBCN7,45045,2023,00,BB
11AA23073KLC00,41804,2023,11,AA
00AA2302Q65BFN,40540,2023,00,AA
00DD2304FYZB25,78765,2023,00,DD
11AA2305ACYOBM,46600,2023,11,AA
00DD230618PEYG,18747,2023,00,DD
00DD23057EJEYQ,66070,2023,00,DD
00AA2302E87O0Z,06415,2023,00,AA
11AA2309KU0GJP,16827,2023,11,AA
00CC2303IU2UQX,46897,2023,00,CC
11AA2301YDZOT3,08076,2023,11,AA
00BB2311HVNGDY,33129,2023,00,BB
00DD2305SSE8ZI,61214,2023,00,DD
11AA230161CZAG,03973,2023,11,AA
00BB2308EJ9N3S,79845,2023,00,BB
00AA23097GQ3TB,84173,2023,00,AA
00AA2302STIAML,65633,2023,00,AA
11AA2309O8XGO0,27719,2023,11,AA
00DD2304XOI0OM,76230,2023,00,DD
00BB2302U2BZLU,38249,2023,00,BB
00DD2306N6CZPK,41710,2023,00,DD
00AA2308NFDLHR,41697,2023,00,AA
00AA2301G7AOJO,82009,2023,00,AA
00AA23079JEETN,50072,2023,00,AA
00CC2310ESZCPR,74048,2023,00,CC
00BB2306OM2BQT,40180,2023,00,BB
00BB2312AMYF7Q,21868,2023,00,BB
00DD2305LO9JSU,61061,2023,00,DD
00CC2310CWLPF2,18420,2023,00,CC
00AA2304AU9WUG,89509,2023,00,AA
00BB2309I94FHX,38576,2023,00,BB
00DD230262GQAO,36796,2023,00,DD
00CC2306SQYLJO,48916,2023,00,CC
00BB23103F4BN2,03903,2023,00,BB
00BB2309RC4HZJ,86419,2023,00,BB
00CC2303BC7LGU,46604,2023,00,CC
11AA23105MPEFP,73200,2023,11,AA
00BB2308K7J6WV,16999,2023,00,BB
00CC2309OTGFHV,45310,2023,00,CC
00CC2312Y6CBCV,56147,2023,00,CC
00AA23063OEBFA,90377,2023,00,AA
00CC2303WF4ABT,70011,2023,00,CC
00BB2306VKF8EX,10825,2023,00,BB
00BB23064J9QEQ,50557,2023,00,BB
00AA2309ATFNRX,02260,2023,00,AA
00AA2308AG3FN4,84723,2023,00,AA
00AA2311YT4DYB,18639,2023,00,AA
00CC2301GX09JT,07958,2023,00,CC
00BB2306NHYH4Y,03609,2023,00,BB
00BB2304DQHX80,70951,2023,00,BB
00BB2308J1APGX,21472,2023,00,BB
00AA2308JJ7SU8,48741,2023,00,AA
11AA230400F07X,39542,2023,11,AA
00AA2311V3LOIB,36115,2023,00,AA
00DD2310CJ0AN1,47971,2023,00,DD
11AA2302T08BCA,79160,2023,11,AA
11AA2309SVGDGB,03309,2023,11,AA
00DD2305UO02ZH,49187,2023,00,DD
00DD2311CA4OKP,15217,2023,00,DD
11AA2304SSE3F2,42254,2023,11,AA
00BB2311OPZ0W2,57160,2023,00,BB
00CC2301NKKNQM,68825,2023,00,CC
00AA2304P2VOY0,65338,2023,00,AA
11AA23106VM160,06639,2023,11,AA
11AA23074JCR3M,76055,2023,11,AA
00AA23066R99V6,27156,2023,00,AA
00AA23088NJHM4,43598,2023,00,AA
00AA2312MCHVHU,33541,2023,00,AA
11AA2304QTOGCK,82234,2023,11,AA
00CC2311DFMYJK,52283,2023,00,CC
00DD2305D47LVS,08471,2023,00,DD
11AA2306EK70K0,57328,2023,11,AA
00DD2303T58DFI,06917,2023,00,DD
11AA2311GFI9IP,63531,2023,11,AA
11AA2311MTPZVC,45222,2023,11,AA
00AA2308F0ZF6O,90501,2023,00,AA
11AA2305FBEJCH,83354,2023,11,AA
00CC2307IRLWZH,90555,2023,00,CC
00BB2310UEZKPD,92715,2023,00,BB
00DD2302TLH1BJ,79826,2023,00,DD
00CC2303QKQ4B3,55001,2023,00,CC
00AA2303LNEPFK,32653,2023,00,AA
11AA2306SPSIPQ,19026,2023,11,AA
00BB2302YNDFJH,35744,2023,00,BB
00BB2311V1HGX1,34069,2023,00,BB
00CC2304LZSXFI,38294,2023,00,CC
00BB2305002EPV,93262,2023,00,BB
11AA2309FA5SXC,70173,2023,11,AA
00CC23022Z1T63,94908,2023,00,CC
00BB2311LMEW86,02100,2023,00,BB
00BB2310BUEI4Q,46059,2023,00,BB
00AA2310K0E2DA,06934,2023,00,AA
11AA2311UQYMB8,90769,2023,11,AA
00DD2301I3NJ7I,94245,2023,00,DD
00DD2312VUX6Y7,07129,2023,00,DD
00AA2304XQVPGT,87553,2023,00,AA
11AA2309PPFO84,51129,2023,11,AA
00CC2305JGE0CC,93270,2023,00,CC
00CC230668IC3B,12154,2023,00,CC
00BB2309JB03XN,50888,2023,00,BB
11AA2312DBKEI4,32497,2023,11,AA
11AA23019387PQ,88290,2023,11,AA
00AA2303584635,55752,2023,00,AA
00BB2309OTNGDY,41941,2023,00,BB
11AA2303WA455B,06238,2023,11,AA
00AA2310TGQ024,38578,2023,00,AA
00DD2305CFUJNV,65254,2023,00,DD
00CC2307AUNAYM,81417,2023,00,CC
11AA2306MHIG1U,43245,2023,11,AA
00DD23079BYU0B,87136,2023,00,DD
11AA230951FIKQ,43059,2023,11,AA
11AA2306XKLZRC,94400,2023,11,AA
11AA2312UAW0KU,32815,2023,11,AA
00AA2302CF22XJ,04030,2023,00,AA
00CC2309SIZ6AT,02845,2023,00,CC
00BB2308BVBULT,32129,2023,00,BB
00AA2306AWH75X,46023,2023,00,AA
11AA230116LLUV,61394,2023,11,AA
00AA2306JSZDPK,11478,2023,00,AA
00AA2305UOYHTI,35141,2023,00,AA
00CC2305IOKWVH,32571,2023,00,CC
11AA2311WWJCEZ,38929,2023,11,AA
00AA2305ENZ9L5,00977,2023,00,AA
00BB2310J6CJF1,35134,2023,00,BB
00AA2301M731KB,27738,2023,00,AA
11AA2309IPJBOE,96310,2023,11,AA
00AA2302WJPYGD,66179,2023,00,AA
00AA2312LFL6ZI,51713,2023,00,AA
11AA230336CE77,77866,2023,11,AA
00CC23112KVRJX,36760,2023,00,CC
00BB2307871LH7,34200,2023,00,BB
00CC2303RN2YP7,36333,2023,00,CC
00BB23126BUV3P,82360,2023,00,BB
00CC2312VO35EJ,44169,2023,00,CC
00BB231195772Q,77881,2023,00,BB
00CC2311RMPIYI,87129,2023,00,CC
00CC2302S8REX0,79953,2023,00,CC
00BB2309VH4NLW,09557,2023,00,BB
00DD2304A5SYBQ,03146,2023,00,DD
00BB2304J4ZA6I,52021,2023,00,BB
00AA2303JHF03W,63578,2023,00,AA
00CC23040IOCB9,92319,2023,00,CC
00BB2306G97NAT,12895,2023,00,BB
00CC23068E550D,01492,2023,00,CC
00AA2312O2I8VD,82738,2023,00,AA
00DD2312NZA6DK,68964,2023,00,DD
11AA23121FMI5R,68756,2023,11,AA
11AA230825J3MK,66043,2023,11,AA
11AA230207RRIB,46112,2023,11,AA
00CC2301MPRD3A,15031,2023,00,CC
00AA2301H41Z3A,01875,2023,00,AA
00BB2304DNGSA7,91924,2023,00,BB
00BB2305866YGC,05583,2023,00,BB
00BB2311OUKGSN,89650,2023,00,BB
00BB2304OF20KT,82019,2023,00,BB
00CC2312X0JUUL,03033,2023,00,CC
00BB2310BKYE8H,10496,2023,00,BB
00CC2301DVO6P0,76944,2023,00,CC
11AA2306L7S0RB,45947,2023,11,AA
00AA2309F0KY2A,78526,2023,00,AA
00BB2310JBOKFF,18419,2023,00,BB
00BB2304L1YWXU,63257,2023,00,BB
00AA2311LFET5Z,56039,2023,00,AA
00AA2312ATIOYL,82206,2023,00,AA
00DD2310THHD38,63326,2023,00,DD
00CC2310H0AXXZ,20400,2023,00,CC
00BB23014D0V5G,60963,2023,00,BB
00DD2311ZPIMDY,52847,2023,00,DD
00DD2311A8V7A8,85870,2023,00,DD
00CC2302589X25,07519,2023,00,CC
00CC2305R2O1Z2,96201,2023,00,CC
00DD23113N0ZCI,68080,2023,00,DD
00DD2303ZOKD6T,61675,2023,00,DD
00AA23032PSRUW,38864,2023,00,AA
00AA230231PZZB,85295,2023,00,AA
00AA2307P2GP5J,53180,2023,00,AA
11AA23113RSBV5,50167,2023,11,AA
11AA2301U0OFXU,89123,2023,11,AA
00BB2308DG8BVD,15583,2023,00,BB
00BB2306ZPJCSO,46062,2023,00,BB
